START 9 1

IMPORT tile-bricks.dat
IMPORT texture-colored-3.dat

BACKGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
017 017 017 017 017 017 017 017 017 017 017 017 017 017 017 017 #  0
017 018 018 018 018 018 018 018 018 018 018 018 018 018 018 017 #  1
017 018 017 017 017 017 017 017 017 017 017 017 017 017 017 017 #  2
017 018 017 017 017 017 017 017 017 017 017 017 017 017 017 017 #  3
017 018 017 017 017 017 018 018 018 018 018 018 018 018 018 017 #  4
017 018 017 017 017 017 017 017 017 017 017 017 017 017 018 017 #  5
017 018 017 017 017 017 017 017 017 017 017 017 017 017 018 017 #  6
017 018 018 018 018 018 018 018 018 017 017 017 017 017 018 017 #  7
017 017 017 017 017 017 017 017 017 017 017 017 017 017 018 017 #  8
017 017 017 017 017 017 017 017 017 017 017 017 017 017 018 017 #  9
017 018 018 018 018 018 018 018 018 018 018 018 018 018 018 017 # 10
017 017 017 017 017 017 017 017 017 017 017 017 017 017 017 017 # 11

FOREGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
001 008 008 008 008 008 008 008 008 008 008 008 008 008 008 001 #  0
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 011 #  1
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  2
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  3
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 012 #  4
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  5
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  6
010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  7
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  9
009 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 # 10
001 007 007 007 007 007 007 007 007 007 007 007 007 007 007 001 # 11

BLOCKS
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  0
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  1
000 000 000 000 000 000 000 000 000 000 000 000 000 000 002 000 #  2
000 000 000 000 000 000 000 000 000 000 000 000 000 000 003 000 #  3
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  4
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  5
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  6
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  7
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  9
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 10
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 11

EXIT RIGHT 2
EXIT RIGHT 3

ENEMY BLOCKER 2 15 0 -1
ENEMY BLOCKER 3 15 0 -1

ENEMY BLOCKER 1 1 0 -1
ENEMY BLOCKER 1 2 0 -1
ENEMY BLOCKER 1 3 0 -1
ENEMY BLOCKER 1 4 0 -1
ENEMY BLOCKER 1 5 0 -1
ENEMY BLOCKER 1 6 0 -1
ENEMY BLOCKER 1 7 0 -1
ENEMY BLOCKER 1 8 0 -1
ENEMY BLOCKER 1 9 0 -1
ENEMY BLOCKER 1 10 0 -1
ENEMY BLOCKER 1 11 0 -1
ENEMY BLOCKER 1 12 0 -1
ENEMY BLOCKER 1 13 0 -1
ENEMY BLOCKER 1 14 0 -1

ENEMY BLOCKER 2 1 0 -1
ENEMY BLOCKER 3 1 0 -1
ENEMY BLOCKER 4 1 0 -1
ENEMY BLOCKER 5 1 0 -1
ENEMY BLOCKER 6 1 0 -1
ENEMY BLOCKER 7 1 0 -1

ENEMY BLOCKER 4 6 0 -1
ENEMY BLOCKER 4 7 0 -1
ENEMY BLOCKER 4 8 0 -1
ENEMY BLOCKER 4 9 0 -1
ENEMY BLOCKER 4 10 0 -1
ENEMY BLOCKER 4 11 0 -1
ENEMY BLOCKER 4 12 0 -1
ENEMY BLOCKER 4 13 0 -1
ENEMY BLOCKER 4 14 0 -1

ENEMY BLOCKER 7 2 0 -1
ENEMY BLOCKER 7 3 0 -1
ENEMY BLOCKER 7 4 0 -1
ENEMY BLOCKER 7 5 0 -1
ENEMY BLOCKER 7 6 0 -1
ENEMY BLOCKER 7 7 0 -1
ENEMY BLOCKER 7 8 0 -1

ENEMY BLOCKER 5 14 0 -1
ENEMY BLOCKER 6 14 0 -1
ENEMY BLOCKER 7 14 0 -1
ENEMY BLOCKER 8 14 0 -1
ENEMY BLOCKER 9 14 0 -1

ENEMY BLOCKER 10 1 0 -1
ENEMY BLOCKER 10 2 0 -1
ENEMY BLOCKER 10 3 0 -1
ENEMY BLOCKER 10 4 0 -1
ENEMY BLOCKER 10 5 0 -1
ENEMY BLOCKER 10 6 0 -1
ENEMY BLOCKER 10 7 0 -1
ENEMY BLOCKER 10 8 0 -1
ENEMY BLOCKER 10 9 0 -1
ENEMY BLOCKER 10 10 0 -1
ENEMY BLOCKER 10 11 0 -1
ENEMY BLOCKER 10 12 0 -1
ENEMY BLOCKER 10 13 0 -1
ENEMY BLOCKER 10 14 0 -1
