START 8 3

IMPORT tile-bricks.dat

TILE
  IMAGE farground-forest.png:320x240:0,0
END

TILE
  IMAGE background-bedroom.png:320x240:0,0
END

FARGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
038 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  0
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  1
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  2
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  3
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  4
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  5
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  6
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  7
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  9
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 10
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 11

BACKGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
039 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  0
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  1
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  2
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  3
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  4
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  5
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  6
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  7
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  9
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 10
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 11

FOREGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
001 001 008 008 008 008 008 008 008 008 008 008 008 008 001 001 #  0
001 010 000 000 000 000 000 000 000 000 000 000 000 000 011 001 #  1
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  2
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  3
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  4
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  5
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  6
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 011 #  7
005 000 000 000 000 016 000 000 000 000 000 000 000 000 000 000 #  8
005 000 000 000 000 006 009 000 000 000 000 000 000 000 000 000 #  9
005 000 000 000 000 006 001 009 000 000 000 000 000 000 000 012 # 10
001 007 007 007 007 001 001 001 007 007 007 007 007 007 007 001 # 11

EXIT RIGHT 8
EXIT RIGHT 9
