START 80 140

IMPORT tiles-castle.dat
IMPORT textures-colored.dat

BACKGROUND
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 00 00 00 00
00 00 02 02 02 02 02 02 02 02 02 02 02 02 02 02
00 00 02 02 02 02 02 02 02 02 02 02 02 02 02 02
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

FOREGROUND
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01

BLOCKS
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

EXIT RIGHT 8
EXIT RIGHT 9

ENEMY BLOCKER 8 12 0 -1
ENEMY BLOCKER 9 12 0 -1
