START 10 0

DIRECTION UP

IMPORT tile-bricks.dat
IMPORT texture-colored.dat

TEXTURE_ANIM
  IMAGE texture-red.png
  IMAGE texture-orange.png
  SPEED 20
  LOOP
END

BACKGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  0
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  1
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  2
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  3
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  4
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  5
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  6
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  7
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  8
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 #  9
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 # 10
018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 018 # 11

FOREGROUND
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
001 008 008 008 008 008 008 008 008 008 008 008 010 000 000 006 #  0
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  1
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  2
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  3
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  4
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  5
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  6
005 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  7
010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 #  9
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 006 # 10
007 007 007 007 007 007 007 007 007 007 007 007 007 007 007 001 # 11

BLOCKS
# 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
#################################################################
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  0
000 000 006 006 000 006 006 006 006 006 006 000 006 006 000 000 #  1
000 006 000 000 006 006 006 006 006 006 006 006 000 000 006 000 #  2
000 000 000 006 006 006 006 006 006 006 006 006 006 000 000 000 #  3
000 000 006 000 000 006 006 006 006 006 006 000 000 006 000 000 #  4
000 006 000 000 006 000 006 000 000 006 000 006 000 000 006 000 #  5
000 000 000 006 000 000 000 006 006 000 000 000 006 000 000 000 #  6
000 000 000 006 000 000 000 000 000 000 000 000 006 000 000 000 #  7
000 000 000 000 006 000 000 007 000 000 000 006 000 000 000 000 #  8
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 #  9
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 10
000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 # 11


EXIT UP 13
EXIT UP 14

# Exit blockers
ENEMY BLOCKER 0 13 0 -1
ENEMY BLOCKER 0 14 0 -1

ENEMY UPDOWN 5 7 30 -1
ENEMY UPDOWN 5 8 30 -1
ENEMY UPDOWN 6 5 30 -1
ENEMY UPDOWN 7 10 30 -1
ENEMY UPDOWN 4 3 30 -1
ENEMY UPDOWN 5 12 30 -1
ENEMY UPDOWN 3 1 30 -1
ENEMY UPDOWN 4 14 30 -1
